REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jan-19,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,133.6,,,,1
Jan-19,Canada,2016A000011124,Food,2002=100,17,units,0,v41690974,2.3,148.7,,,,1
Jan-19,Canada,2016A000011124,Food purchased from stores,2002=100,17,units,0,v41690975,2.4,146.1,,,,1
Jan-19,Canada,2016A000011124,Meat,2002=100,17,units,0,v41690976,2.5,159.8,,,,1
Jan-19,Canada,2016A000011124,Fresh or frozen meat (excluding poultry),2002=100,17,units,0,v41690977,2.6,169.2,,,,1
Jan-19,Canada,2016A000011124,Fresh or frozen beef,2002=100,17,units,0,v41690978,2.7,180.1,,,,1
Jan-19,Canada,2016A000011124,Fresh or frozen pork,2002=100,17,units,0,v41690979,2.8,142.3,,,,1
Jan-19,Canada,2016A000011124,Other fresh or frozen meat (excluding poultry),2002=100,17,units,0,v41690980,2.9,167,,,,1
Jan-19,Canada,2016A000011124,Fresh or frozen poultry,2002=100,17,units,0,v41690981,2.1,157.4,,,,1
Jan-19,Canada,2016A000011124,Fresh or frozen chicken,2002=100,17,units,0,v41690982,2.11,161.7,,,,1
Jan-19,Canada,2016A000011124,Other fresh or frozen poultry,2002=100,17,units,0,v41690983,2.12,131.4,,,,1
Jan-19,Canada,2016A000011124,Processed meat,2002=100,17,units,0,v41690984,2.13,148.3,,,,1
Jan-19,Canada,2016A000011124,Ham and bacon,2002=100,17,units,0,v41690985,2.14,147.9,,,,1
Jan-19,Canada,2016A000011124,Bacon (2013=100),2013=100,25,units,0,v122665855,2.316,132.3,,,,1
Jan-19,Canada,2016A000011124,Ham excluding deli ham (2013=100),2013=100,25,units,0,v122665856,2.317,114.7,,,,1
Jan-19,Canada,2016A000011124,Other processed meat,2002=100,17,units,0,v41690986,2.15,153.3,,,,1
Jan-19,Canada,2016A000011124,"Fish, seafood and other marine products",2002=100,17,units,0,v41690987,2.16,140.9,,,,1
Jan-19,Canada,2016A000011124,Fish,2002=100,17,units,0,v41690988,2.17,153.1,,,,1
Jan-19,Canada,2016A000011124,Fresh or frozen fish (including portions and fish sticks),2002=100,17,units,0,v41690989,2.18,151.7,,,,1
Jan-19,Canada,2016A000011124,Canned and other preserved fish,2002=100,17,units,0,v41690990,2.19,153.3,,,,1
Jan-19,Canada,2016A000011124,Canned salmon (2013=100),2013=100,25,units,0,v122665857,2.318,134.2,,,,1
Jan-19,Canada,2016A000011124,Canned tuna (2013=100),2013=100,25,units,0,v122665858,2.319,112,,,,1
Jan-19,Canada,2016A000011124,Seafood and other marine products,2002=100,17,units,0,v41690991,2.2,111.9,,,,1
Jan-19,Canada,2016A000011124,Shrimps and prawns (2013=100),2013=100,25,units,0,v122665859,2.32,117.3,,,,1
Jan-19,Canada,2016A000011124,Other shellfish (2013=100),2013=100,25,units,0,v122665860,2.321,115.5,,,,1
Jan-19,Canada,2016A000011124,Dairy products and eggs,2002=100,17,units,0,v41690992,2.21,135.9,,,,1
